epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,80.7708,3.14623,13.303,1.49816,0.07769,0.00961,0.00366,0.00095,4.0069,6.96299,5.81962,0.000659004,0.000659004,0.000659004
2,146.666,2.80608,2.31932,1.32618,0.01564,0.03766,0.0014,0.0003,3.75653,20.3276,2.73429,0.00131255,0.00131255,0.00131255
3,211.485,2.78246,2.34128,1.31541,0.14193,0.03497,0.01697,0.00442,3.81747,6.91174,1.77308,0.00195289,0.00195289,0.00195289
4,276.815,2.71502,2.22797,1.27615,0.27569,0.22713,0.13198,0.03577,2.91622,3.43813,1.41782,0.0019406,0.0019406,0.0019406
5,341.923,2.65986,2.11752,1.25681,0.33195,0.30669,0.20653,0.05035,2.80435,3.42795,1.35942,0.0019208,0.0019208,0.0019208
6,406.513,2.6127,2.0537,1.24764,0.51546,0.34204,0.27135,0.08246,2.72357,2.49591,1.36084,0.001901,0.001901,0.001901
7,471.082,2.57211,1.98599,1.22995,0.5569,0.3774,0.32023,0.10337,2.57337,2.23336,1.30046,0.0018812,0.0018812,0.0018812
8,535.733,2.54664,1.9373,1.21268,0.53199,0.33397,0.27831,0.08552,2.56497,2.47109,1.28237,0.0018614,0.0018614,0.0018614
9,600.071,2.53065,1.89602,1.20814,0.55403,0.35857,0.29776,0.08957,2.63244,2.56171,1.30007,0.0018416,0.0018416,0.0018416
10,664.231,2.50606,1.86382,1.20035,0.57517,0.36395,0.33402,0.10647,2.49444,2.13609,1.25624,0.0018218,0.0018218,0.0018218
11,728.829,2.48178,1.82175,1.19929,0.56945,0.38893,0.33308,0.10738,2.48292,2.15169,1.25768,0.001802,0.001802,0.001802
12,793.53,2.45704,1.80179,1.19471,0.6136,0.39277,0.33213,0.10545,2.5503,2.04764,1.26377,0.0017822,0.0017822,0.0017822
13,857.617,2.46619,1.82115,1.19115,0.62645,0.40661,0.37192,0.11351,2.46823,2.09297,1.24108,0.0017624,0.0017624,0.0017624
14,921.91,2.44288,1.77126,1.18512,0.60689,0.39633,0.3437,0.10634,2.52575,1.96181,1.2648,0.0017426,0.0017426,0.0017426
15,985.6,2.41833,1.75874,1.17615,0.67054,0.40815,0.37911,0.12286,2.45895,1.98138,1.25585,0.0017228,0.0017228,0.0017228
16,1049.85,2.41902,1.74369,1.18116,0.71736,0.42006,0.41181,0.1341,2.49492,1.90522,1.26494,0.001703,0.001703,0.001703
17,1114.14,2.40481,1.73237,1.16807,0.64813,0.4239,0.40481,0.13776,2.42117,1.9102,1.2347,0.0016832,0.0016832,0.0016832
18,1178.61,2.39026,1.69696,1.16376,0.64644,0.42583,0.3991,0.13,2.48657,2.08298,1.25532,0.0016634,0.0016634,0.0016634
19,1242.13,2.39167,1.69288,1.16771,0.65196,0.42006,0.40547,0.1371,2.48438,1.82317,1.25623,0.0016436,0.0016436,0.0016436
20,1305.58,2.38288,1.68063,1.15546,0.68556,0.42198,0.40575,0.12621,2.52533,1.86017,1.26885,0.0016238,0.0016238,0.0016238
