epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.2158,3.13207,3.8208,1.51035,0,0,0,0,nan,nan,nan,0.000659004,0.000659004,0.000659004
2,144.522,3.04979,2.78609,1.43166,0.00092,0.1691,0.00019,5e-05,nan,nan,nan,0.00131255,0.00131255,0.00131255
3,212.225,3.00635,2.79783,1.39448,0.00044,0.09147,5e-05,1e-05,nan,nan,nan,0.00195289,0.00195289,0.00195289
4,277.556,2.94671,2.70349,1.38155,0.36707,0.21522,0.13891,0.03747,3.00561,3.90479,1.54641,0.0019406,0.0019406,0.0019406
5,344.581,2.86637,2.52471,1.33871,0.294,0.18524,0.11384,0.03385,3.26092,4.27485,1.59478,0.0019208,0.0019208,0.0019208
6,409.995,2.76187,2.41249,1.30714,0.24549,0.12606,0.05965,0.01238,3.42658,5.35193,1.50605,0.001901,0.001901,0.001901
7,475.244,2.75409,2.36556,1.29316,0.44718,0.22982,0.20244,0.0653,2.71534,3.08439,1.35103,0.0018812,0.0018812,0.0018812
8,542.308,2.7052,2.29216,1.27069,0.33972,0.31591,0.24089,0.07731,2.60187,2.86099,1.29037,0.0018614,0.0018614,0.0018614
9,610.156,2.67976,2.24616,1.27125,0.36188,0.28824,0.23698,0.07417,2.64616,2.77752,1.33477,0.0018416,0.0018416,0.0018416
10,675.624,2.64181,2.21665,1.26139,0.41382,0.31284,0.23827,0.07014,2.67945,2.62126,1.34012,0.0018218,0.0018218,0.0018218
11,740.679,2.63949,2.16165,1.25033,0.56902,0.29208,0.26827,0.08674,2.66204,2.4332,1.31119,0.001802,0.001802,0.001802
12,807.421,2.60315,2.13806,1.2516,0.5355,0.3236,0.29129,0.09314,2.58158,2.42807,1.29365,0.0017822,0.0017822,0.0017822
13,874.596,2.59298,2.12208,1.23868,0.57269,0.32129,0.27205,0.08386,nan,nan,nan,0.0017624,0.0017624,0.0017624
14,939.651,2.57835,2.10953,1.2464,0.58761,0.33743,0.29772,0.09323,2.62241,2.32758,1.28975,0.0017426,0.0017426,0.0017426
15,1006.54,2.55814,2.0452,1.22507,0.65834,0.34819,0.32712,0.10787,2.61737,2.21661,1.30856,0.0017228,0.0017228,0.0017228
16,1073.88,2.53058,2.01001,1.21611,0.53175,0.28517,0.26403,0.08172,2.64329,2.67019,1.32828,0.001703,0.001703,0.001703
17,1139,2.51018,1.95941,1.20731,0.52563,0.34834,0.3021,0.08757,2.71742,2.34801,1.31435,0.0016832,0.0016832,0.0016832
18,1203.91,2.5041,1.9519,1.22342,0.61278,0.38048,0.35521,0.13434,2.47108,2.12166,1.25999,0.0016634,0.0016634,0.0016634
19,1270.75,2.49962,1.91685,1.21289,0.62024,0.34589,0.31283,0.10103,2.65353,2.19345,1.31055,0.0016436,0.0016436,0.0016436
20,1335.84,2.47227,1.91135,1.19955,0.57716,0.38509,0.34685,0.11377,2.50633,2.20921,1.25062,0.0016238,0.0016238,0.0016238
