epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,152.561,2.94552,3.03438,1.40632,0.61828,0.32667,0.303,0.091,2.65584,2.90352,1.32649,0.0099422,0.00331407,0.0099422,0.00331407,0.0099422,0.00331407,0.0099422,0.00331407
2,294.406,2.71381,2.16826,1.2704,0.23321,0.17487,0.08876,0.02294,3.11059,9.1937,1.44111,0.0197448,0.00658159,0.0197448,0.00658159,0.0197448,0.00658159,0.0197448,0.00658159
3,434.668,2.8455,2.42757,1.33393,0.12053,0.11453,0.04765,0.01022,3.11492,9.5153,1.54924,0.0293493,0.00978311,0.0293493,0.00978311,0.0293493,0.00978311,0.0293493,0.00978311
4,574.634,2.88086,2.46596,1.33936,0.23651,0.15257,0.08976,0.02538,3.17609,7.03056,1.44324,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,713.742,2.75118,2.25694,1.30723,0.264,0.24942,0.12376,0.0392,2.7595,3.92066,1.35709,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,852.695,2.70326,2.17074,1.28575,0.56872,0.30256,0.25864,0.07877,2.68421,2.65763,1.32176,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,991.482,2.6252,2.07643,1.25706,0.42057,0.31015,0.22732,0.07286,2.64424,2.7262,1.32011,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1130.19,2.58404,2.0156,1.24131,0.61258,0.33897,0.3197,0.09333,2.68961,2.44139,1.33853,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1269.8,2.54216,1.93039,1.22753,0.60351,0.32513,0.29556,0.09011,2.6726,2.31014,1.32616,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1408.2,2.50711,1.87192,1.21915,0.65491,0.34743,0.32933,0.11015,2.65157,2.31092,1.32101,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1548.09,2.50903,1.8846,1.20806,0.55921,0.36395,0.32519,0.10592,2.59352,2.68553,1.296,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1686.66,2.47422,1.81135,1.20981,0.58784,0.3651,0.31753,0.102,2.57329,2.21429,1.29018,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1825.29,2.45435,1.79445,1.19705,0.60244,0.37394,0.35124,0.11574,2.52498,2.10197,1.26409,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,1964.82,2.4398,1.7635,1.19032,0.62129,0.42813,0.39543,0.12641,2.52984,1.99209,1.27414,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,2104.4,2.40571,1.71866,1.18085,0.68613,0.37394,0.37573,0.12381,2.49926,2.0676,1.27128,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
