epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,4219.56,2.1481,1.34796,1.10091,0.73718,0.50896,0.48108,0.17585,2.38647,1.55865,1.22717,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,4349.93,2.14861,1.35329,1.09864,0.73132,0.51549,0.48847,0.18344,2.35039,1.54331,1.22297,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,4480.94,2.13771,1.34007,1.09444,0.73518,0.50841,0.48037,0.18124,2.34176,1.52824,1.22158,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,4611.43,2.13057,1.3241,1.09156,0.71382,0.50631,0.48339,0.18136,2.35699,1.55569,1.2301,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,4741.86,2.11674,1.31742,1.08517,0.74123,0.51013,0.4949,0.18476,2.39516,1.53993,1.22695,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,4873.25,2.11616,1.31345,1.08584,0.69939,0.51568,0.48267,0.17332,2.37956,1.54863,1.2314,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,5003.87,2.10629,1.2958,1.08572,0.71009,0.5044,0.4804,0.17336,2.36369,1.55494,1.21967,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,5134.57,2.10903,1.30656,1.08271,0.69733,0.51033,0.47784,0.17239,2.3646,1.58005,1.22129,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,5265.31,2.09705,1.30564,1.07731,0.73381,0.51392,0.4933,0.18414,2.34688,1.52291,1.21704,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,5395.99,2.08532,1.27305,1.07877,0.69921,0.51434,0.48626,0.17949,2.35422,1.52791,1.22061,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,5526.83,2.07593,1.26924,1.07683,0.72924,0.52103,0.49528,0.17888,2.36245,1.52742,1.22651,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,5657.41,2.06941,1.2672,1.07669,0.72874,0.51316,0.49203,0.18185,2.35061,1.51602,1.21946,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,5787.98,2.06567,1.25555,1.07186,0.68227,0.52256,0.47398,0.17342,2.35708,1.54531,1.22346,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,5918.86,2.06104,1.25699,1.07052,0.70392,0.52868,0.48602,0.18149,2.32788,1.5145,1.21814,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,6049.69,2.05272,1.24955,1.06547,0.70565,0.51843,0.48236,0.17982,2.3528,1.51837,1.22072,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,6180.89,2.03815,1.22969,1.0646,0.71176,0.52313,0.48577,0.18071,2.35262,1.49683,1.21835,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,6311.76,2.04361,1.24342,1.06057,0.70831,0.52868,0.49452,0.18284,2.3624,1.48344,1.22678,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,6442.54,2.02502,1.22087,1.05639,0.70742,0.53155,0.48704,0.1801,2.36043,1.50659,1.22517,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,6573.37,2.03558,1.23469,1.05848,0.70471,0.5218,0.49378,0.18447,2.36109,1.50046,1.22407,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,6704.37,2.02078,1.20728,1.061,0.70699,0.52428,0.49704,0.18392,2.35371,1.50999,1.22241,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,6835.03,2.00569,1.20587,1.05256,0.71231,0.52237,0.49164,0.18413,2.34797,1.49197,1.22333,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,6965.72,1.9993,1.20129,1.05674,0.73062,0.52811,0.49939,0.18572,2.3461,1.46737,1.22185,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
