epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,10234.4,2.37727,1.79363,1.16541,0.59862,0.40507,0.36808,0.13063,2.53755,2.31743,1.25238,0.0011882,0.0011882,0.0011882
43,10478,2.36382,1.76311,1.1611,0.6208,0.40519,0.37182,0.12999,2.56409,2.33896,1.25819,0.0011684,0.0011684,0.0011684
44,10721.2,2.36471,1.74971,1.15739,0.56627,0.4166,0.36429,0.12586,2.5376,2.34896,1.25039,0.0011486,0.0011486,0.0011486
45,10964.5,2.34907,1.73268,1.16433,0.61815,0.40564,0.37334,0.13752,2.55481,2.31268,1.27233,0.0011288,0.0011288,0.0011288
46,11208.7,2.34241,1.70997,1.15068,0.67481,0.41276,0.39075,0.13993,2.5115,2.28409,1.25147,0.001109,0.001109,0.001109
47,11452.9,2.35522,1.73018,1.15437,0.64261,0.41048,0.37864,0.12834,2.5541,2.35853,1.24994,0.0010892,0.0010892,0.0010892
48,11696.3,2.33592,1.70286,1.15864,0.54537,0.42968,0.36625,0.13297,2.53312,2.29122,1.25373,0.0010694,0.0010694,0.0010694
49,11940.2,2.3382,1.69335,1.15621,0.63597,0.40046,0.36149,0.12861,2.54988,2.30377,1.25498,0.0010496,0.0010496,0.0010496
50,12183.9,2.34427,1.70495,1.14715,0.64677,0.43505,0.39475,0.13921,2.54645,2.24214,1.2545,0.0010298,0.0010298,0.0010298
51,12427.4,2.32058,1.68022,1.1427,0.62792,0.42429,0.38692,0.13526,2.5515,2.22784,1.25951,0.00101,0.00101,0.00101
52,12670.6,2.29637,1.67849,1.13737,0.64145,0.42353,0.40494,0.1387,2.53072,2.2185,1.24387,0.0009902,0.0009902,0.0009902
53,12914,2.30971,1.65652,1.13789,0.57713,0.43639,0.38349,0.1346,2.53583,2.23551,1.25371,0.0009704,0.0009704,0.0009704
54,13157.4,2.31882,1.66665,1.14217,0.59532,0.4166,0.38887,0.13724,2.5331,2.28213,1.24419,0.0009506,0.0009506,0.0009506
55,13401.1,2.28986,1.65484,1.14447,0.60875,0.41583,0.38691,0.13661,2.5548,2.22771,1.25324,0.0009308,0.0009308,0.0009308
56,13644.6,2.28342,1.62125,1.14688,0.65497,0.40709,0.39385,0.13505,2.57105,2.2383,1.25856,0.000911,0.000911,0.000911
57,13888,2.29432,1.64108,1.13053,0.62323,0.41891,0.37561,0.12839,2.56193,2.23418,1.26087,0.0008912,0.0008912,0.0008912
