epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,105.874,3.12427,5.14474,1.42359,0.13761,0.14527,0.04047,0.00876,3.42342,5.56008,1.39998,0.000664734,0.000664734,0.000664734
2,211.539,2.97378,2.92357,1.35312,0.37357,0.27364,0.19623,0.0591,2.92933,3.50129,1.40333,0.00131822,0.00131822,0.00131822
3,317.242,2.91264,2.58942,1.33097,0.24347,0.25596,0.14548,0.03738,2.88158,3.3119,1.34625,0.00195851,0.00195851,0.00195851
4,422.645,2.8735,2.52257,1.33536,0.45918,0.26134,0.2144,0.0647,2.92226,3.00128,1.41369,0.0019406,0.0019406,0.0019406
5,528.378,2.78258,2.42116,1.30347,0.52486,0.29285,0.25143,0.07724,2.90359,3.08132,1.39044,0.0019208,0.0019208,0.0019208
6,633.711,2.7513,2.32572,1.3017,0.53702,0.32453,0.25656,0.0829,2.77649,3.0237,1.34239,0.001901,0.001901,0.001901
7,739.161,2.71281,2.26593,1.26292,0.59771,0.32513,0.31602,0.09672,2.78866,2.63256,1.35074,0.0018812,0.0018812,0.0018812
8,844.775,2.67802,2.20957,1.27172,0.6216,0.32129,0.3141,0.10053,2.75664,2.69817,1.3772,0.0018614,0.0018614,0.0018614
9,950.026,2.66829,2.20338,1.25533,0.54915,0.3382,0.31021,0.10039,2.70725,2.59665,1.3211,0.0018416,0.0018416,0.0018416
10,1055.25,2.62698,2.13986,1.25201,0.6173,0.3382,0.31928,0.10085,2.74756,2.60935,1.36052,0.0018218,0.0018218,0.0018218
11,1160.82,2.61385,2.14034,1.2463,0.57684,0.31053,0.29965,0.10048,2.64786,2.63134,1.3295,0.001802,0.001802,0.001802
12,1266.04,2.58429,2.10933,1.23637,0.62771,0.33436,0.31844,0.10769,2.69744,2.57747,1.33259,0.0017822,0.0017822,0.0017822
13,1371.18,2.59429,2.08328,1.23361,0.56372,0.3382,0.31671,0.11035,2.64319,2.51581,1.30039,0.0017624,0.0017624,0.0017624
14,1476.65,2.56933,2.04342,1.23539,0.64945,0.34281,0.32396,0.10918,2.67047,2.49827,1.33251,0.0017426,0.0017426,0.0017426
15,1581.38,2.56027,2.04308,1.23192,0.6578,0.3382,0.3221,0.11192,2.59893,2.4386,1.29989,0.0017228,0.0017228,0.0017228
16,1686.47,2.53116,2.00233,1.21719,0.61121,0.3774,0.35239,0.11535,2.67077,2.6688,1.33375,0.001703,0.001703,0.001703
17,1791.98,2.54133,2.01066,1.2114,0.62541,0.35162,0.33442,0.11334,2.65577,2.47749,1.305,0.0016832,0.0016832,0.0016832
18,1896.92,2.50814,1.95593,1.21428,0.6039,0.34051,0.32854,0.1045,2.75589,2.4887,1.34671,0.0016634,0.0016634,0.0016634
19,2001.61,2.50955,1.96805,1.20838,0.64262,0.35204,0.33513,0.1177,2.59596,2.47358,1.30814,0.0016436,0.0016436,0.0016436
20,2106.73,2.51967,1.9775,1.2028,0.65735,0.38432,0.36137,0.12673,2.54795,2.445,1.295,0.0016238,0.0016238,0.0016238
21,2212.12,2.49496,1.95867,1.20049,0.60803,0.35174,0.33737,0.11675,2.59711,2.37609,1.29693,0.001604,0.001604,0.001604
22,2317.24,2.46529,1.92483,1.19828,0.67607,0.34281,0.33888,0.11915,2.6245,2.36524,1.29833,0.0015842,0.0015842,0.0015842
23,2422.45,2.47388,1.89742,1.19686,0.63427,0.3651,0.35718,0.12131,2.63471,2.39443,1.30072,0.0015644,0.0015644,0.0015644
24,2527.61,2.44683,1.8604,1.19558,0.64864,0.35191,0.33642,0.11406,2.66485,2.32632,1.30277,0.0015446,0.0015446,0.0015446
25,2632.91,2.45145,1.87362,1.18758,0.62568,0.36664,0.3482,0.11677,2.63918,2.35664,1.3072,0.0015248,0.0015248,0.0015248
26,2738.22,2.46881,1.8572,1.19849,0.64572,0.36664,0.3582,0.11755,2.61792,2.31647,1.29849,0.001505,0.001505,0.001505
27,2843.71,2.42462,1.83322,1.18963,0.64415,0.38048,0.35002,0.12546,2.56409,2.33929,1.29328,0.0014852,0.0014852,0.0014852
28,2949.15,2.45574,1.83649,1.19792,0.62699,0.37984,0.35097,0.1231,2.5932,2.3548,1.29976,0.0014654,0.0014654,0.0014654
29,3054.39,2.4111,1.84136,1.17466,0.66184,0.36434,0.35618,0.11837,2.64584,2.31765,1.31546,0.0014456,0.0014456,0.0014456
