epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1612.7,3.34149,4.0292,1.49579,0.19826,0.15065,0.07631,0.01923,3.11576,3.60257,1.46634,0.000666425,0.000666425,0.000666425
2,3222.68,3.27138,3.46832,1.43237,0.17084,0.20215,0.06734,0.01927,2.96224,3.48725,1.38813,0.00131989,0.00131989,0.00131989
3,4831.04,3.16593,3.29616,1.36586,0.20883,0.21214,0.09195,0.02541,2.86925,3.33728,1.31236,0.00196016,0.00196016,0.00196016
4,6439.23,3.13058,3.25642,1.3448,0.26343,0.23119,0.13592,0.03819,2.89411,3.32663,1.35012,0.0019406,0.0019406,0.0019406
5,8047.74,3.07661,3.17501,1.34181,0.26011,0.24289,0.12503,0.03505,2.84697,3.30557,1.3216,0.0019208,0.0019208,0.0019208
6,9652.71,3.07096,3.03916,1.33349,0.1565,0.21445,0.07769,0.02127,2.85224,3.22474,1.28773,0.001901,0.001901,0.001901
7,11256.7,3.02877,2.99106,1.3192,0.21391,0.21061,0.11976,0.03295,2.79034,3.24794,1.26387,0.0018812,0.0018812,0.0018812
8,12861.4,3.01414,2.93907,1.29743,0.32466,0.24058,0.15515,0.04202,2.81128,3.1496,1.28365,0.0018614,0.0018614,0.0018614
9,14469.7,2.9932,2.88881,1.30221,0.39757,0.2721,0.20992,0.06161,2.81116,3.08843,1.26,0.0018416,0.0018416,0.0018416
10,16078.1,2.96235,2.85829,1.29207,0.30457,0.25749,0.15193,0.04593,2.76775,3.094,1.24209,0.0018218,0.0018218,0.0018218
11,17681.9,2.92694,2.80013,1.27935,0.40156,0.27517,0.18857,0.0575,2.72884,3.01292,1.22035,0.001802,0.001802,0.001802
12,19285.8,2.92834,2.77937,1.28783,0.3669,0.26287,0.16007,0.04453,2.7941,3.10112,1.26261,0.0017822,0.0017822,0.0017822
13,20889.6,2.94233,2.75802,1.29697,0.41562,0.28055,0.19896,0.05697,2.71137,3.17096,1.26328,0.0017624,0.0017624,0.0017624
14,22494,2.87224,2.70516,1.26598,0.47766,0.29977,0.24087,0.07262,2.753,3.24844,1.25362,0.0017426,0.0017426,0.0017426
15,24102.7,2.85873,2.64323,1.26185,0.42719,0.27364,0.21468,0.06635,2.73801,3.06466,1.24658,0.0017228,0.0017228,0.0017228
16,25707.4,2.8619,2.65628,1.27479,0.45156,0.30131,0.2499,0.07539,2.69162,2.91328,1.25653,0.001703,0.001703,0.001703
17,27316.6,2.83448,2.61109,1.24532,0.42818,0.27825,0.22407,0.06745,2.66623,2.95502,1.22621,0.0016832,0.0016832,0.0016832
18,28921.2,2.83499,2.62607,1.25084,0.4845,0.30361,0.2454,0.08017,2.64328,2.77333,1.24046,0.0016634,0.0016634,0.0016634
19,30529.4,2.83476,2.61468,1.25138,0.45476,0.28747,0.22671,0.06926,2.66634,2.99581,1.2355,0.0016436,0.0016436,0.0016436
20,32133.1,2.76682,2.52196,1.24454,0.43254,0.31514,0.26017,0.08453,2.61023,2.93078,1.22492,0.0016238,0.0016238,0.0016238
21,33741.6,2.75477,2.48433,1.22936,0.57094,0.31514,0.28326,0.09615,2.62611,2.79501,1.23117,0.001604,0.001604,0.001604
22,35349.1,2.76667,2.54614,1.23854,0.47044,0.3359,0.23833,0.07878,2.65756,2.86253,1.23568,0.0015842,0.0015842,0.0015842
