epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,98.6056,3.15854,3.38225,1.51246,0,0,0,0,nan,nan,nan,0.000662813,0.000662813,0.000662813
2,187.844,3.1162,2.89738,1.43916,0.14736,0.09377,0.05367,0.01349,3.25423,4.10085,1.56701,0.00131632,0.00131632,0.00131632
3,275.911,3.0256,2.75343,1.39418,0.29037,0.16372,0.0958,0.02874,3.27641,3.77843,1.46887,0.00195662,0.00195662,0.00195662
4,364.05,2.97381,2.66898,1.38437,0.31675,0.21368,0.12871,0.03526,3.217,3.30861,1.51765,0.0019406,0.0019406,0.0019406
5,452.109,2.88677,2.51427,1.3573,0.31539,0.26134,0.16765,0.0499,2.85857,2.86431,1.41832,0.0019208,0.0019208,0.0019208
6,540.11,2.83781,2.42151,1.33455,0.43832,0.27364,0.20924,0.06387,2.90683,2.80277,1.42876,0.001901,0.001901,0.001901
7,628.17,2.78261,2.39598,1.30706,0.52258,0.27512,0.2366,0.0691,2.86836,2.74801,1.40422,0.0018812,0.0018812,0.0018812
8,716.556,2.76605,2.35694,1.30176,0.36114,0.32437,0.20561,0.06085,2.80479,2.80839,1.35577,0.0018614,0.0018614,0.0018614
9,802.836,2.73809,2.28675,1.29345,0.52803,0.30592,0.25753,0.07912,2.85638,2.56485,1.36427,0.0018416,0.0018416,0.0018416
10,891.148,2.68605,2.26547,1.28304,0.4244,0.30592,0.23596,0.07073,2.84387,2.65327,1.35145,0.0018218,0.0018218,0.0018218
11,977.348,2.68093,2.20846,1.26514,0.45135,0.28328,0.25039,0.08129,2.67574,2.61111,1.29463,0.001802,0.001802,0.001802
12,1065.45,2.63417,2.1894,1.26572,0.59381,0.32437,0.30213,0.09535,2.74886,2.44256,1.33875,0.0017822,0.0017822,0.0017822
13,1153.83,2.64301,2.15358,1.2588,0.33267,0.30003,0.20357,0.05982,2.80985,3.6744,1.33301,0.0017624,0.0017624,0.0017624
14,1240.14,2.62934,2.1033,1.25916,0.55775,0.30515,0.27309,0.08689,2.69886,2.47009,1.33233,0.0017426,0.0017426,0.0017426
15,1326.09,2.59923,2.08534,1.23352,0.56494,0.31284,0.29134,0.08983,2.69851,2.48723,1.32156,0.0017228,0.0017228,0.0017228
16,1412.16,2.57607,2.05178,1.23412,0.53431,0.34896,0.29634,0.09377,2.64672,2.50318,1.29291,0.001703,0.001703,0.001703
17,1498.34,2.55043,1.99581,1.21791,0.578,0.32744,0.30658,0.10571,2.55153,2.47544,1.26261,0.0016832,0.0016832,0.0016832
18,1586.48,2.54742,2.00491,1.21611,0.62807,0.35434,0.33564,0.10816,2.65172,2.40317,1.29558,0.0016634,0.0016634,0.0016634
19,1674.67,2.54736,2.00452,1.2207,0.56582,0.32513,0.31725,0.09593,2.64522,2.55567,1.28948,0.0016436,0.0016436,0.0016436
20,1760.77,2.53789,1.99999,1.2175,0.56672,0.33897,0.31113,0.09865,2.69015,2.35863,1.29127,0.0016238,0.0016238,0.0016238
21,1846.89,2.51774,1.95864,1.21869,0.54472,0.35895,0.31804,0.10742,2.59341,2.3764,1.27828,0.001604,0.001604,0.001604
22,1933.02,2.49969,1.93643,1.21071,0.62311,0.32975,0.30726,0.09698,2.62542,2.23789,1.30157,0.0015842,0.0015842,0.0015842
23,2019.16,2.51362,1.91844,1.21691,0.59283,0.33359,0.31057,0.09501,2.70142,2.31911,1.29332,0.0015644,0.0015644,0.0015644
24,2105.34,2.48363,1.89536,1.20642,0.66097,0.36714,0.34625,0.11182,2.62385,2.33106,1.26664,0.0015446,0.0015446,0.0015446
25,2193.52,2.4578,1.89399,1.19591,0.60082,0.32129,0.3022,0.09263,2.82312,2.53838,1.34064,0.0015248,0.0015248,0.0015248
26,2279.63,2.47194,1.89293,1.20698,0.57842,0.37121,0.34345,0.11654,2.55312,2.18934,1.28441,0.001505,0.001505,0.001505
27,2367.78,2.47486,1.87914,1.19398,0.62956,0.36126,0.33363,0.10524,2.63045,2.21327,1.29543,0.0014852,0.0014852,0.0014852
28,2453.9,2.47015,1.84044,1.19474,0.59464,0.34051,0.31868,0.10709,2.62038,2.19994,1.28428,0.0014654,0.0014654,0.0014654
29,2540.12,2.43139,1.81814,1.17818,0.52089,0.38524,0.33524,0.1049,2.61491,2.44199,1.27444,0.0014456,0.0014456,0.0014456
30,2626.4,2.43683,1.82619,1.19672,0.65346,0.36741,0.34742,0.11608,2.60216,2.16167,1.27336,0.0014258,0.0014258,0.0014258
31,2712.66,2.42311,1.81898,1.18321,0.60609,0.3751,0.34033,0.11331,2.59064,2.3059,1.28314,0.001406,0.001406,0.001406
32,2798.87,2.41624,1.80199,1.18412,0.64474,0.3774,0.34574,0.11925,2.561,2.18059,1.2663,0.0013862,0.0013862,0.0013862
33,2887.03,2.42761,1.7977,1.17003,0.70012,0.40197,0.3865,0.12952,2.54056,2.08569,1.27242,0.0013664,0.0013664,0.0013664
34,2975.3,2.42701,1.80181,1.19498,0.66481,0.38265,0.35393,0.11626,2.54459,2.1372,1.27798,0.0013466,0.0013466,0.0013466
35,3061.58,2.4069,1.77049,1.17485,0.68821,0.38278,0.36604,0.11883,2.56998,2.13434,1.27084,0.0013268,0.0013268,0.0013268
36,3147.77,2.38789,1.78323,1.17267,0.58999,0.37938,0.34886,0.11621,2.56926,2.22652,1.27173,0.001307,0.001307,0.001307
37,3233.89,2.37187,1.72429,1.17294,0.68135,0.39662,0.38205,0.12459,2.55781,2.07533,1.27987,0.0012872,0.0012872,0.0012872
38,3320.01,2.36022,1.74775,1.1631,0.61382,0.3628,0.34084,0.10759,2.57094,2.1303,1.28054,0.0012674,0.0012674,0.0012674
39,3406.09,2.36912,1.72378,1.16359,0.66055,0.36818,0.35455,0.11831,2.53481,2.13996,1.25684,0.0012476,0.0012476,0.0012476
40,3492.29,2.35979,1.73875,1.16458,0.63023,0.402,0.37431,0.11696,2.63575,2.08956,1.29367,0.0012278,0.0012278,0.0012278
41,3578.39,2.35991,1.68464,1.16308,0.64597,0.38708,0.37247,0.12303,2.57771,2.11336,1.2775,0.001208,0.001208,0.001208
42,3664.63,2.34247,1.70059,1.15736,0.70897,0.38278,0.36803,0.12392,2.50932,2.0737,1.26406,0.0011882,0.0011882,0.0011882
43,3750.89,2.34824,1.6796,1.16313,0.64213,0.37237,0.3587,0.11258,2.64082,2.09354,1.28293,0.0011684,0.0011684,0.0011684
44,3837.05,2.34349,1.67938,1.16213,0.6618,0.37301,0.35892,0.12094,2.55247,2.08038,1.27981,0.0011486,0.0011486,0.0011486
45,3923.23,2.3042,1.63362,1.15255,0.66367,0.3897,0.38094,0.12429,2.58681,2.01907,1.27946,0.0011288,0.0011288,0.0011288
46,4009.54,2.32511,1.63852,1.14983,0.60543,0.40123,0.37502,0.1289,2.52021,1.98464,1.26275,0.001109,0.001109,0.001109
47,4095.69,2.33325,1.67869,1.15208,0.63398,0.41404,0.38436,0.1277,2.6061,2.01652,1.30222,0.0010892,0.0010892,0.0010892
48,4181.79,2.29712,1.63905,1.1446,0.62494,0.41814,0.38104,0.12924,2.53381,2.03788,1.26428,0.0010694,0.0010694,0.0010694
49,4267.89,2.31451,1.62889,1.15632,0.66282,0.42005,0.3943,0.13093,2.5353,2.09432,1.26189,0.0010496,0.0010496,0.0010496
50,4355.95,2.30723,1.63921,1.15123,0.672,0.39739,0.38648,0.12517,2.55514,2.02685,1.28531,0.0010298,0.0010298,0.0010298
51,4441.95,2.29583,1.59519,1.13458,0.65254,0.42121,0.39602,0.13151,2.54076,2.00882,1.27319,0.00101,0.00101,0.00101
52,4529.87,2.26218,1.55987,1.12882,0.62342,0.42506,0.38271,0.1299,2.5693,1.99279,1.28072,0.0009902,0.0009902,0.0009902
53,4615.84,2.26744,1.58961,1.14248,0.6501,0.41129,0.39104,0.13571,2.50776,1.96245,1.26433,0.0009704,0.0009704,0.0009704
54,4704.05,2.25781,1.55566,1.1397,0.65282,0.39167,0.38092,0.12907,2.54813,1.97841,1.26951,0.0009506,0.0009506,0.0009506
55,4790.2,2.25663,1.56094,1.13938,0.65597,0.42198,0.40487,0.1377,2.50226,1.9571,1.26017,0.0009308,0.0009308,0.0009308
56,4878.25,2.23748,1.54089,1.13059,0.63712,0.40507,0.38056,0.12434,2.58442,1.95709,1.28392,0.000911,0.000911,0.000911
57,4964.4,2.25891,1.55753,1.12681,0.65153,0.42583,0.4005,0.13433,2.54205,1.94616,1.27334,0.0008912,0.0008912,0.0008912
58,5050.63,2.24642,1.54119,1.13336,0.60716,0.41199,0.37693,0.12145,2.60227,1.98975,1.28881,0.0008714,0.0008714,0.0008714
59,5136.89,2.23225,1.52284,1.133,0.55285,0.41814,0.37268,0.12349,2.55846,2.11069,1.27727,0.0008516,0.0008516,0.0008516
