epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,2764.11,2.25915,1.51239,1.13557,0.64393,0.46788,0.45549,0.16287,2.38851,1.77724,1.22885,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,2849.54,2.26764,1.52119,1.13417,0.72989,0.474,0.45164,0.16005,2.41395,1.70216,1.24073,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,2934.78,2.25066,1.50485,1.12401,0.70984,0.46635,0.45381,0.16425,2.3737,1.68836,1.22105,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,3020.3,2.24851,1.49685,1.12581,0.70461,0.48413,0.45326,0.16467,2.40034,1.66389,1.23865,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,3105.96,2.23444,1.47956,1.12014,0.73381,0.48598,0.46275,0.16633,2.38895,1.68201,1.23251,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,3192.38,2.23661,1.47643,1.12207,0.69262,0.48394,0.45152,0.16251,2.41989,1.67075,1.24113,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,3278,2.22289,1.45839,1.11613,0.73731,0.48011,0.46205,0.17272,2.36729,1.66919,1.22382,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,3363.68,2.22728,1.46506,1.11657,0.75222,0.49222,0.47552,0.17888,2.35832,1.60951,1.225,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,3449.22,2.21756,1.46355,1.11408,0.69846,0.47036,0.44992,0.1656,2.35983,1.68105,1.22003,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,3534.6,2.20525,1.43512,1.11083,0.71907,0.47629,0.4479,0.16843,2.35686,1.65246,1.21814,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,3620.13,2.2026,1.43414,1.11132,0.70769,0.47447,0.46613,0.17262,2.39079,1.68221,1.23141,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,3705.68,2.19574,1.43156,1.11128,0.71285,0.48069,0.46324,0.17341,2.34229,1.66449,1.2156,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,3791,2.19362,1.42286,1.10833,0.71208,0.48992,0.46617,0.17397,2.35316,1.62829,1.21236,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,3876.44,2.19397,1.421,1.10593,0.7106,0.49598,0.46453,0.1741,2.34981,1.62137,1.21696,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,3961.77,2.19274,1.41897,1.10466,0.70736,0.48031,0.45151,0.165,2.36757,1.64164,1.22362,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,4046.89,2.171,1.40113,1.1005,0.73095,0.48517,0.46352,0.17444,2.34631,1.64758,1.21319,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,4132.01,2.18875,1.40707,1.09875,0.68244,0.4761,0.44836,0.16713,2.37229,1.68237,1.22473,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,4217.03,2.16569,1.37806,1.09605,0.69852,0.4782,0.46272,0.17406,2.33845,1.64224,1.21377,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,4302.13,2.17352,1.40809,1.09866,0.65458,0.48842,0.45635,0.1706,2.35706,1.62569,1.21596,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,4387.11,2.16517,1.37968,1.1013,0.69262,0.49805,0.47272,0.17805,2.35563,1.60233,1.22214,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,4473.9,2.15328,1.38121,1.09589,0.73483,0.49751,0.47906,0.17779,2.35301,1.59536,1.21976,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,4558.88,2.1485,1.37701,1.09976,0.72578,0.4891,0.47569,0.17845,2.36099,1.59766,1.2214,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,4644,2.14313,1.36462,1.09279,0.69611,0.48891,0.47578,0.17811,2.35776,1.60438,1.22047,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,4729.19,2.13574,1.35822,1.08962,0.72023,0.48434,0.47565,0.17557,2.36055,1.61828,1.21741,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,4814.43,2.1296,1.35998,1.08873,0.73276,0.5,0.48568,0.17882,2.36355,1.58697,1.22062,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,4899.64,2.1256,1.3444,1.08474,0.70537,0.5017,0.47966,0.17783,2.35959,1.59365,1.21886,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,4985.15,2.13652,1.35871,1.08862,0.69845,0.49541,0.47587,0.17786,2.36262,1.59891,1.21979,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,5070.38,2.12498,1.34329,1.08347,0.744,0.50038,0.48552,0.18215,2.34196,1.58287,1.21271,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,5156.05,2.1094,1.33734,1.08203,0.72535,0.49579,0.48193,0.18122,2.35051,1.59467,1.21583,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,5241.22,2.10009,1.32909,1.07352,0.73136,0.48203,0.47638,0.18029,2.34914,1.59217,1.21616,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,5326.32,2.09336,1.31891,1.07818,0.69854,0.49713,0.48193,0.18052,2.34729,1.58701,1.21541,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,5411.57,2.09441,1.31653,1.07453,0.73469,0.4914,0.48229,0.18058,2.36189,1.57793,1.22201,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,5496.7,2.09272,1.31234,1.07406,0.72262,0.49446,0.47776,0.17887,2.37124,1.58858,1.22495,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,5581.7,2.08458,1.29901,1.07407,0.7234,0.49705,0.47819,0.17972,2.36902,1.58124,1.22721,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,5666.76,2.09025,1.31051,1.07594,0.71455,0.49943,0.48003,0.18023,2.38344,1.58563,1.2277,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,5751.98,2.07666,1.28364,1.0717,0.72234,0.49369,0.48628,0.18231,2.38594,1.57727,1.22811,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,5837.95,2.06804,1.30107,1.07229,0.7061,0.49618,0.48639,0.18211,2.37857,1.58585,1.2248,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,5923.15,2.06488,1.28002,1.06512,0.69983,0.50229,0.48627,0.17961,2.37856,1.58456,1.22588,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,6008.25,2.06782,1.28312,1.06728,0.70447,0.50019,0.48497,0.1795,2.37806,1.57048,1.22756,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,6093.55,2.05846,1.27784,1.06326,0.72238,0.5044,0.49032,0.17933,2.37672,1.55767,1.2296,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,6179.12,2.05085,1.27627,1.06157,0.70658,0.50554,0.48586,0.17879,2.36928,1.55778,1.22763,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,6264.43,2.04952,1.26959,1.05832,0.71945,0.50454,0.48947,0.17982,2.36268,1.55227,1.22424,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,6349.75,2.03683,1.25485,1.0604,0.72472,0.50438,0.48931,0.1811,2.36661,1.54855,1.2263,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,6435.39,2.0346,1.2513,1.05721,0.72098,0.50765,0.48983,0.18123,2.37481,1.55324,1.22734,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,6520.7,2.02955,1.24889,1.05539,0.72229,0.50727,0.48812,0.18076,2.37482,1.5424,1.22741,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,6606.04,2.02481,1.24056,1.05562,0.72094,0.50682,0.48647,0.18033,2.38032,1.54355,1.23101,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,6691.22,2.01479,1.24188,1.05072,0.69926,0.51109,0.48389,0.17977,2.38547,1.54945,1.23297,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,6776.34,2.00075,1.22656,1.051,0.70512,0.49369,0.48009,0.1784,2.38596,1.55451,1.23274,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,6861.44,2.00399,1.22829,1.048,0.70493,0.49235,0.48105,0.17779,2.39268,1.55869,1.23499,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,6946.52,2.00048,1.22182,1.04761,0.70732,0.48658,0.47839,0.17706,2.393,1.56258,1.23531,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,7032.05,1.99308,1.22118,1.04315,0.69947,0.4847,0.47626,0.17596,2.3927,1.56759,1.23512,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,7117.54,1.98672,1.21575,1.03973,0.6937,0.48681,0.47399,0.17545,2.39001,1.57087,1.23347,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,7203.03,1.98379,1.20792,1.03893,0.69228,0.48853,0.47263,0.17543,2.39039,1.57032,1.23292,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,7288.58,1.97149,1.20091,1.03582,0.68631,0.48945,0.47244,0.17514,2.39276,1.57062,1.23355,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,7373.79,1.96908,1.19812,1.03696,0.68213,0.48868,0.47029,0.17479,2.39501,1.57151,1.23483,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,7458.71,1.96776,1.19002,1.03437,0.67801,0.48929,0.4684,0.17384,2.39711,1.57597,1.2355,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,7543.87,1.9571,1.17961,1.03181,0.67578,0.48779,0.46737,0.17311,2.40072,1.57591,1.23704,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,7629.31,1.95067,1.17964,1.0283,0.67776,0.48853,0.46636,0.17278,2.40191,1.57791,1.23796,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,7714.81,1.93713,1.16381,1.0246,0.67616,0.48785,0.46629,0.17219,2.40413,1.579,1.23857,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,7803.32,1.92857,1.15831,1.07739,0.67849,0.48432,0.46394,0.17152,2.40523,1.58156,1.23852,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,7889.11,1.89421,1.11661,1.07007,0.67937,0.48375,0.46138,0.17074,2.40711,1.58286,1.23949,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,7975.05,1.88204,1.10979,1.06533,0.67795,0.48509,0.46022,0.17032,2.40853,1.585,1.23959,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,8060.4,1.86989,1.0958,1.063,0.6752,0.48757,0.45907,0.17019,2.41109,1.58612,1.24036,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,8145.55,1.86196,1.09235,1.05659,0.67274,0.48776,0.45704,0.1693,2.41331,1.58847,1.2415,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,8231.16,1.84662,1.08219,1.05256,0.67039,0.48872,0.45645,0.16899,2.41487,1.59057,1.24233,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,8316.74,1.8423,1.07652,1.0549,0.67135,0.48834,0.45535,0.16877,2.41632,1.59105,1.243,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,8402.35,1.83265,1.06716,1.04886,0.66964,0.48776,0.45393,0.16845,2.41915,1.59246,1.24429,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,8487.62,1.82048,1.05968,1.04732,0.66942,0.48719,0.4538,0.16778,2.42146,1.59413,1.24519,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,8573.01,1.82047,1.05713,1.04867,0.6675,0.48853,0.4537,0.16771,2.42355,1.59631,1.24643,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
