epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.2978,3.12168,5.85879,1.41197,0.00145,0.34397,0.10895,0.02747,2.94034,5.93157,1.34317,0.000659004,0.000659004,0.000659004
2,104.294,2.78774,3.20068,1.28314,0.37006,0.22137,0.14763,0.03826,2.899,3.3063,1.38599,0.00131255,0.00131255,0.00131255
3,147.218,2.77574,2.53807,1.2892,0.3186,0.21725,0.13041,0.03579,2.83051,4.23893,1.33556,0.00195289,0.00195289,0.00195289
4,190.018,2.74102,2.29018,1.27574,0.37192,0.25058,0.17181,0.04769,2.89948,5.05707,1.40841,0.0019406,0.0019406,0.0019406
5,232.166,2.67495,2.16999,1.25668,0.4055,0.19716,0.15495,0.04367,3.24914,2.96311,1.67809,0.0019208,0.0019208,0.0019208
6,274.222,2.6282,2.09243,1.24484,0.49522,0.3186,0.26705,0.07834,2.64381,3.25687,1.2822,0.001901,0.001901,0.001901
7,316.056,2.59549,2.02818,1.23058,0.50164,0.33269,0.25573,0.07412,2.78731,2.59936,1.38558,0.0018812,0.0018812,0.0018812
8,357.745,2.55798,1.9786,1.21678,0.50327,0.27863,0.24844,0.06822,2.74746,2.40997,1.31155,0.0018614,0.0018614,0.0018614
9,399.503,2.54094,1.94719,1.2076,0.53619,0.30438,0.2471,0.06997,2.67238,3.12093,1.32069,0.0018416,0.0018416,0.0018416
10,441.089,2.52934,1.90896,1.20861,0.51846,0.29439,0.26064,0.07139,2.73881,2.2364,1.30339,0.0018218,0.0018218,0.0018218
11,482.787,2.50813,1.88831,1.2073,0.641,0.35934,0.34707,0.11174,2.58845,2.17239,1.29013,0.001802,0.001802,0.001802
12,524.537,2.50079,1.88023,1.20534,0.66813,0.3701,0.34535,0.10617,2.68371,2.14423,1.32549,0.0017822,0.0017822,0.0017822
13,566.283,2.49896,1.87991,1.19984,0.60765,0.35594,0.33875,0.10073,2.59951,2.27188,1.2921,0.0017624,0.0017624,0.0017624
14,607.918,2.46474,1.84002,1.19478,0.60225,0.31482,0.28197,0.08166,2.84696,2.27781,1.41319,0.0017426,0.0017426,0.0017426
15,649.705,2.46825,1.818,1.19101,0.4812,0.33897,0.25887,0.07526,2.59244,2.91131,1.28926,0.0017228,0.0017228,0.0017228
16,691.151,2.46091,1.82264,1.19182,0.62444,0.37829,0.35958,0.114,2.5041,2.00004,1.26788,0.001703,0.001703,0.001703
17,732.788,2.44453,1.79826,1.18161,0.63734,0.40085,0.35876,0.11135,2.48988,2.08156,1.25589,0.0016832,0.0016832,0.0016832
18,774.161,2.42739,1.76599,1.1751,0.63297,0.37317,0.36464,0.11834,2.50046,2.03121,1.26005,0.0016634,0.0016634,0.0016634
19,815.656,2.42554,1.74182,1.17748,0.64857,0.38624,0.35126,0.11312,2.5766,2.06175,1.27971,0.0016436,0.0016436,0.0016436
20,857.103,2.42002,1.74971,1.16833,0.66134,0.38547,0.35945,0.11224,2.59839,2.00154,1.29188,0.0016238,0.0016238,0.0016238
21,898.706,2.38796,1.71684,1.16228,0.62384,0.3651,0.31885,0.09448,2.73183,2.25028,1.35323,0.001604,0.001604,0.001604
22,940.204,2.38321,1.70455,1.16335,0.66319,0.38125,0.35127,0.10995,2.5996,1.92902,1.29011,0.0015842,0.0015842,0.0015842
23,981.757,2.37942,1.68155,1.15324,0.69271,0.38048,0.36439,0.12104,2.47681,1.95085,1.25779,0.0015644,0.0015644,0.0015644
24,1023.47,2.37793,1.71528,1.16467,0.65897,0.39656,0.37578,0.11791,2.50384,1.92448,1.25697,0.0015446,0.0015446,0.0015446
25,1064.9,2.36939,1.68014,1.15954,0.69526,0.41736,0.3914,0.1263,2.48231,1.89892,1.26139,0.0015248,0.0015248,0.0015248
26,1106.51,2.3715,1.66937,1.15913,0.68618,0.40504,0.38218,0.12221,2.49788,1.8407,1.24131,0.001505,0.001505,0.001505
27,1148.01,2.35774,1.66213,1.15478,0.67795,0.39076,0.37017,0.11944,2.47257,1.96607,1.25118,0.0014852,0.0014852,0.0014852
28,1189.49,2.37123,1.67884,1.15837,0.69788,0.41045,0.39509,0.12759,2.48122,1.91433,1.24412,0.0014654,0.0014654,0.0014654
29,1231.13,2.33968,1.64028,1.14274,0.68977,0.3947,0.38218,0.12472,2.52113,1.97188,1.26756,0.0014456,0.0014456,0.0014456
30,1272.6,2.34381,1.64876,1.14674,0.66481,0.40815,0.38174,0.12289,2.47739,1.88327,1.25589,0.0014258,0.0014258,0.0014258
31,1314.11,2.32694,1.61233,1.1461,0.64524,0.42219,0.37833,0.12412,2.48381,1.85512,1.25687,0.001406,0.001406,0.001406
32,1355.77,2.33002,1.61536,1.15071,0.66806,0.44197,0.39829,0.13427,2.46662,1.82518,1.24659,0.0013862,0.0013862,0.0013862
33,1397.52,2.31296,1.59725,1.14647,0.63308,0.40647,0.38725,0.12691,2.4732,1.8789,1.2503,0.0013664,0.0013664,0.0013664
34,1439.06,2.30357,1.58369,1.13973,0.66538,0.44081,0.41441,0.13371,2.46908,1.98111,1.26075,0.0013466,0.0013466,0.0013466
35,1480.83,2.31296,1.60076,1.13906,0.65186,0.40661,0.37762,0.12343,2.4854,1.91383,1.25862,0.0013268,0.0013268,0.0013268
36,1522.35,2.29824,1.57246,1.13978,0.59896,0.42763,0.39633,0.13254,2.4549,1.8784,1.23614,0.001307,0.001307,0.001307
37,1563.88,2.30418,1.58308,1.13847,0.65832,0.43851,0.39789,0.13343,2.41948,1.81635,1.23986,0.0012872,0.0012872,0.0012872
38,1605.43,2.29504,1.58004,1.13567,0.68649,0.44197,0.41472,0.13921,2.39364,1.78999,1.22739,0.0012674,0.0012674,0.0012674
39,1647.25,2.29514,1.56665,1.13547,0.68165,0.41468,0.3976,0.12873,2.47177,1.82969,1.24433,0.0012476,0.0012476,0.0012476
40,1689.1,2.28086,1.54103,1.13643,0.69837,0.4216,0.39789,0.13222,2.45711,1.8223,1.23168,0.0012278,0.0012278,0.0012278
41,1730.5,2.2661,1.54165,1.13179,0.65938,0.42275,0.40942,0.13455,2.42384,1.82432,1.23244,0.001208,0.001208,0.001208
42,1771.9,2.25884,1.5325,1.12165,0.65224,0.41879,0.40001,0.1354,2.42144,1.85083,1.23529,0.0011882,0.0011882,0.0011882
43,1813.43,2.26897,1.54115,1.13297,0.70807,0.43044,0.41116,0.13607,2.4912,1.80992,1.25829,0.0011684,0.0011684,0.0011684
44,1855.02,2.26382,1.53748,1.13142,0.67764,0.43274,0.41963,0.14052,2.4231,1.82039,1.25251,0.0011486,0.0011486,0.0011486
45,1896.57,2.25349,1.53189,1.12433,0.69041,0.41238,0.39917,0.13554,2.43625,1.79547,1.24893,0.0011288,0.0011288,0.0011288
46,1937.89,2.25273,1.52817,1.12561,0.67833,0.44581,0.41118,0.13881,2.48097,1.79344,1.26185,0.001109,0.001109,0.001109
47,1979.34,2.23281,1.51422,1.12117,0.65233,0.44197,0.39926,0.13727,2.43822,1.77695,1.25025,0.0010892,0.0010892,0.0010892
48,2020.83,2.23356,1.4817,1.11583,0.6724,0.43351,0.41519,0.13957,2.40938,1.75536,1.24167,0.0010694,0.0010694,0.0010694
49,2062.19,2.22475,1.48632,1.11782,0.64984,0.43008,0.39339,0.13347,2.4779,1.78551,1.25974,0.0010496,0.0010496,0.0010496
50,2103.57,2.23158,1.49311,1.11954,0.6938,0.42967,0.41417,0.14111,2.43423,1.76253,1.24282,0.0010298,0.0010298,0.0010298
51,2145.16,2.2277,1.4853,1.11326,0.68687,0.43121,0.40784,0.13676,2.39684,1.83894,1.2281,0.00101,0.00101,0.00101
52,2186.58,2.21645,1.47164,1.11066,0.6793,0.41679,0.38431,0.12868,2.46166,1.81884,1.25548,0.0009902,0.0009902,0.0009902
