epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.3805,3.41671,22.8453,1.69132,9e-05,0.00384,0,0,nan,nan,nan,0.000651515,0.000651515,0.000651515
2,84.9534,2.93803,2.56948,1.41059,0,0.00077,0,0,nan,nan,nan,0.00130513,0.00130513,0.00130513
3,118.521,2.88821,2.49837,1.3711,0.00047,0.04766,3e-05,1e-05,nan,nan,nan,0.00194555,0.00194555,0.00194555
4,152.94,2.86577,2.49349,1.36326,0.01972,0.18308,0.01306,0.00433,2.96808,45.3851,1.55805,0.0019406,0.0019406,0.0019406
5,186.681,2.73828,2.29579,1.31797,0.37492,0.23982,0.16999,0.04019,2.99377,6.08029,1.47456,0.0019208,0.0019208,0.0019208
6,220.159,2.69511,2.22142,1.3142,0.49341,0.25903,0.23986,0.07074,2.81509,3.26272,1.40955,0.001901,0.001901,0.001901
7,253.559,2.63552,2.15782,1.28125,0.37341,0.22752,0.15763,0.03869,2.99027,3.6206,1.43028,0.0018812,0.0018812,0.0018812
8,286.43,2.63112,2.12519,1.28239,0.35594,0.16833,0.10474,0.0309,3.3197,3.61157,1.54784,0.0018614,0.0018614,0.0018614
9,319.117,2.58073,2.03711,1.25537,0.51671,0.28927,0.26444,0.0881,2.81557,2.90752,1.3982,0.0018416,0.0018416,0.0018416
10,352.558,2.57796,2.03512,1.25878,0.46095,0.22282,0.21559,0.0595,2.8886,3.38882,1.40007,0.0018218,0.0018218,0.0018218
11,385.171,2.54528,1.98437,1.24409,0.53371,0.33743,0.29946,0.10159,2.68687,3.0301,1.33614,0.001802,0.001802,0.001802
12,418.399,2.5286,1.94583,1.23728,0.60844,0.3505,0.29654,0.08454,2.83311,2.59124,1.37812,0.0017822,0.0017822,0.0017822
13,450.885,2.53211,1.94767,1.23536,0.59265,0.34051,0.30571,0.08985,2.74687,2.73677,1.35899,0.0017624,0.0017624,0.0017624
14,483.573,2.49041,1.90422,1.2337,0.50459,0.34666,0.30889,0.10042,2.5965,3.09896,1.3107,0.0017426,0.0017426,0.0017426
