epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,27276,2.51152,1.97863,1.18887,0.62117,0.38566,0.37222,0.12894,2.54356,2.46879,1.2582,0.0011882,0.0011882,0.0011882
43,27926,2.4965,1.98791,1.18694,0.61345,0.38048,0.34359,0.11784,2.57009,2.49351,1.27639,0.0011684,0.0011684,0.0011684
44,28573.8,2.5051,1.99215,1.19076,0.64002,0.3897,0.36815,0.12778,2.56502,2.46294,1.26243,0.0011486,0.0011486,0.0011486
45,29222.2,2.48492,1.9752,1.17286,0.64389,0.36895,0.34749,0.11967,2.6355,2.47568,1.28077,0.0011288,0.0011288,0.0011288
46,29870.7,2.48951,1.96441,1.18551,0.59903,0.38354,0.35089,0.11974,2.58224,2.58617,1.27329,0.001109,0.001109,0.001109
47,30518.8,2.46377,1.96322,1.17745,0.65729,0.38201,0.37182,0.12531,2.60832,2.46349,1.28349,0.0010892,0.0010892,0.0010892
48,31167.3,2.50146,1.95746,1.18598,0.64542,0.3897,0.37894,0.12952,2.62638,2.46221,1.2811,0.0010694,0.0010694,0.0010694
49,31817.3,2.44228,1.91657,1.16692,0.61766,0.38739,0.34777,0.1153,2.59454,2.5022,1.26499,0.0010496,0.0010496,0.0010496
50,32465.4,2.44699,1.9081,1.17976,0.60874,0.38893,0.36233,0.11937,2.59934,2.4793,1.26843,0.0010298,0.0010298,0.0010298
51,33113.8,2.4516,1.90963,1.17104,0.6551,0.3898,0.37594,0.12536,2.60501,2.44406,1.26965,0.00101,0.00101,0.00101
52,33762,2.43972,1.89325,1.16181,0.62446,0.38125,0.36521,0.12478,2.59041,2.4395,1.2634,0.0009902,0.0009902,0.0009902
53,34410.5,2.45665,1.90366,1.17916,0.64524,0.39892,0.38389,0.13091,2.5711,2.42754,1.27426,0.0009704,0.0009704,0.0009704
54,35060.4,2.45838,1.87625,1.17021,0.62408,0.38919,0.36841,0.12645,2.56667,2.43366,1.25984,0.0009506,0.0009506,0.0009506
55,35708.2,2.41271,1.8668,1.15616,0.6303,0.40123,0.37791,0.12999,2.59894,2.43541,1.2755,0.0009308,0.0009308,0.0009308
56,36356.4,2.41189,1.8497,1.162,0.63007,0.38621,0.36691,0.1276,2.60253,2.46635,1.27541,0.000911,0.000911,0.000911
57,37004.8,2.45549,1.90495,1.16175,0.62748,0.39431,0.37605,0.1323,2.55081,2.47325,1.26626,0.0008912,0.0008912,0.0008912
58,37654.7,2.41567,1.85415,1.16327,0.62985,0.40807,0.37325,0.13168,2.57009,2.42906,1.27327,0.0008714,0.0008714,0.0008714
59,38303.2,2.41957,1.83742,1.16468,0.60664,0.41276,0.38443,0.13087,2.61281,2.43021,1.29687,0.0008516,0.0008516,0.0008516
60,38951.4,2.40684,1.86536,1.16335,0.62773,0.40507,0.38045,0.12624,2.59834,2.44062,1.28856,0.0008318,0.0008318,0.0008318
61,39599.4,2.39571,1.82446,1.15359,0.61213,0.40123,0.37162,0.12392,2.60645,2.37084,1.30285,0.000812,0.000812,0.000812
62,40248,2.40066,1.80672,1.16845,0.58253,0.4043,0.36561,0.12162,2.61284,2.4199,1.29251,0.0007922,0.0007922,0.0007922
63,40896.2,2.3974,1.80729,1.14513,0.62865,0.40338,0.37553,0.12698,2.59752,2.40764,1.28772,0.0007724,0.0007724,0.0007724
64,41544.2,2.38786,1.80366,1.152,0.61046,0.40353,0.3724,0.12616,2.63307,2.45793,1.30173,0.0007526,0.0007526,0.0007526
65,42192.3,2.37162,1.79391,1.16281,0.61246,0.40208,0.3658,0.12758,2.57746,2.433,1.27514,0.0007328,0.0007328,0.0007328
66,42840.5,2.37776,1.7796,1.15251,0.64489,0.40892,0.38033,0.12962,2.57898,2.39714,1.26791,0.000713,0.000713,0.000713
67,43488.5,2.35598,1.75612,1.15,0.60524,0.402,0.37667,0.12913,2.58148,2.42393,1.26941,0.0006932,0.0006932,0.0006932
68,44136.6,2.33475,1.74863,1.14992,0.61586,0.40584,0.37079,0.12728,2.58824,2.41481,1.28527,0.0006734,0.0006734,0.0006734
