epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6197.98,2.37074,1.71727,1.16844,0.6419,0.39543,0.37823,0.13043,2.55694,2.25633,1.27829,0.0011882,0.0011882,0.0011882
43,6343.82,2.35766,1.73886,1.16384,0.6325,0.36357,0.34094,0.11709,2.59298,2.31035,1.28667,0.0011684,0.0011684,0.0011684
44,6489.67,2.39943,1.74506,1.15733,0.63573,0.4043,0.36489,0.12416,2.57569,2.32871,1.28077,0.0011486,0.0011486,0.0011486
45,6635.42,2.36039,1.70646,1.16471,0.61982,0.402,0.38165,0.12729,2.58617,2.26677,1.29011,0.0011288,0.0011288,0.0011288
46,6781.48,2.36323,1.7013,1.16047,0.64407,0.40584,0.36545,0.12528,2.54967,2.26062,1.28499,0.001109,0.001109,0.001109
47,6927.34,2.36436,1.72348,1.16155,0.6411,0.39047,0.35363,0.11923,2.596,2.27818,1.2876,0.0010892,0.0010892,0.0010892
48,7073.26,2.33444,1.68793,1.15968,0.65317,0.40966,0.38155,0.13363,2.51856,2.1852,1.2644,0.0010694,0.0010694,0.0010694
49,7223.77,2.33387,1.66336,1.15438,0.6453,0.3897,0.36467,0.12597,2.5626,2.25909,1.28365,0.0010496,0.0010496,0.0010496
50,7369.64,2.32045,1.67675,1.15108,0.60146,0.39431,0.3587,0.12038,2.60664,2.26981,1.29653,0.0010298,0.0010298,0.0010298
51,7515.59,2.33345,1.65748,1.14343,0.66581,0.39662,0.36981,0.12554,2.576,2.2067,1.28952,0.00101,0.00101,0.00101
52,7661.8,2.32601,1.6534,1.14713,0.6653,0.38816,0.36404,0.12184,2.59338,2.19897,1.29211,0.0009902,0.0009902,0.0009902
53,7807.59,2.33674,1.66581,1.1435,0.61811,0.39687,0.36691,0.12212,2.61099,2.18797,1.29568,0.0009704,0.0009704,0.0009704
54,7953.5,2.3005,1.62718,1.14005,0.67254,0.38816,0.37531,0.12085,2.65248,2.1714,1.31475,0.0009506,0.0009506,0.0009506
55,8099.44,2.27961,1.60326,1.13924,0.64716,0.40461,0.37145,0.12281,2.6105,2.21085,1.29338,0.0009308,0.0009308,0.0009308
56,8245.09,2.27982,1.61855,1.13494,0.62146,0.39277,0.35866,0.12075,2.62025,2.23519,1.301,0.000911,0.000911,0.000911
57,8390.75,2.28823,1.61738,1.13275,0.60224,0.402,0.36131,0.12173,2.59417,2.21133,1.29972,0.0008912,0.0008912,0.0008912
58,8536.76,2.27437,1.61944,1.14411,0.63327,0.4043,0.37959,0.12997,2.57407,2.20257,1.29923,0.0008714,0.0008714,0.0008714
59,8682.41,2.26105,1.57863,1.13172,0.62835,0.40892,0.3697,0.12023,2.61509,2.22501,1.3082,0.0008516,0.0008516,0.0008516
60,8828.02,2.26833,1.59548,1.13545,0.62479,0.40661,0.37521,0.12269,2.60162,2.21928,1.29484,0.0008318,0.0008318,0.0008318
61,8974.12,2.25224,1.56445,1.12725,0.64174,0.40046,0.37005,0.12583,2.59945,2.20362,1.29829,0.000812,0.000812,0.000812
62,9119.95,2.22497,1.54286,1.12742,0.61649,0.39662,0.35308,0.1201,2.61761,2.23241,1.30774,0.0007922,0.0007922,0.0007922
63,9265.85,2.2488,1.56188,1.12016,0.63537,0.40046,0.36984,0.12418,2.61258,2.17999,1.29366,0.0007724,0.0007724,0.0007724
64,9412.03,2.2275,1.54434,1.12227,0.60344,0.38586,0.35513,0.11897,2.61909,2.30627,1.30525,0.0007526,0.0007526,0.0007526
65,9557.72,2.22765,1.53338,1.13031,0.66011,0.40892,0.38581,0.13052,2.56224,2.13974,1.28195,0.0007328,0.0007328,0.0007328
66,9703.5,2.2292,1.53417,1.12202,0.6521,0.40354,0.38345,0.12991,2.56142,2.16305,1.28178,0.000713,0.000713,0.000713
