epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,10428,2.24817,1.5243,1.12666,0.7007,0.46695,0.4453,0.15373,2.49662,1.94431,1.24112,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,10752.3,2.21539,1.47686,1.11754,0.69029,0.46887,0.44999,0.15246,2.49274,1.92532,1.24564,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,11073.6,2.21695,1.48008,1.12016,0.71252,0.46426,0.44504,0.15153,2.56633,1.98147,1.27504,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,11394.9,2.22703,1.49512,1.12013,0.70781,0.4655,0.44951,0.15211,2.52171,1.96456,1.24989,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,11715.9,2.19577,1.45419,1.11018,0.70246,0.47,0.45353,0.15459,2.51697,1.97067,1.24232,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,12040.6,2.1969,1.44341,1.11166,0.7139,0.47041,0.46464,0.15841,2.53132,1.98218,1.26552,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,12364.8,2.17297,1.42019,1.09714,0.69052,0.47502,0.45254,0.15603,2.53295,2.00673,1.2637,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,12686.6,2.15632,1.3987,1.09412,0.71309,0.47378,0.45544,0.1563,2.52833,2.01971,1.2714,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,13007.8,2.15491,1.41507,1.09739,0.68034,0.47114,0.44834,0.15301,2.46383,1.91135,1.23603,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,13329.4,2.13723,1.38766,1.09122,0.69759,0.47233,0.4493,0.14983,2.48442,1.95927,1.2459,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,13650.3,2.12225,1.37227,1.08654,0.67601,0.47502,0.44392,0.15311,2.47818,1.91145,1.23863,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,13971.9,2.10759,1.36228,1.08323,0.67377,0.46464,0.43869,0.15098,2.54434,1.94575,1.2762,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,14292.9,2.1076,1.35482,1.08199,0.69858,0.48187,0.45179,0.15466,2.49004,1.88947,1.23997,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,14614.2,2.08794,1.33504,1.07612,0.71384,0.48989,0.46286,0.16075,2.51379,1.9352,1.25347,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,14939,2.08842,1.33203,1.07243,0.73183,0.46272,0.4568,0.16021,2.5233,1.91206,1.26683,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,15260.4,2.0635,1.32565,1.06746,0.70562,0.47579,0.45752,0.15639,2.57343,1.94582,1.28098,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,15581.6,2.06939,1.30745,1.07083,0.7058,0.48155,0.45792,0.1577,2.53325,1.91576,1.26585,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,15903.2,2.04546,1.28699,1.06522,0.71101,0.46695,0.46127,0.1597,2.56422,1.92899,1.28522,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,16224.1,2.03354,1.27532,1.06006,0.67276,0.4731,0.44762,0.15583,2.51004,1.90418,1.25989,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,16545.5,2.01368,1.26363,1.05364,0.68413,0.49278,0.45877,0.1599,2.52667,1.92459,1.26864,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,16866.9,2.00051,1.24158,1.05091,0.73076,0.46118,0.44833,0.15476,2.54129,1.94206,1.27581,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,17188,1.98797,1.23369,1.05238,0.68196,0.47632,0.45484,0.15791,2.52057,1.89426,1.27289,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,17509.1,1.98411,1.22237,1.04622,0.70198,0.49154,0.45635,0.15821,2.56576,1.93592,1.29573,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,17830.5,1.96618,1.21765,1.03976,0.66365,0.495,0.45859,0.15839,2.5678,1.91614,1.29278,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,18151.7,1.95847,1.21287,1.0355,0.68917,0.47963,0.45185,0.15691,2.57157,1.92957,1.29224,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,18473.3,1.94608,1.20204,1.03717,0.69482,0.48885,0.45791,0.15848,2.55867,1.92413,1.29181,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,18795,1.94021,1.18058,1.03289,0.68342,0.4927,0.45264,0.15451,2.58602,1.9024,1.29828,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,19116.8,1.90719,1.17222,1.02574,0.67601,0.48309,0.44395,0.1534,2.57914,1.90411,1.29421,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,19438.1,1.90652,1.16946,1.02296,0.67259,0.48616,0.44321,0.15014,2.59106,1.92702,1.29776,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,19760.4,1.8969,1.16166,1.0244,0.68044,0.48608,0.44485,0.15054,2.59111,1.94243,1.30431,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,20081.8,1.87008,1.14468,1.01636,0.67877,0.49116,0.451,0.15205,2.59768,1.96311,1.31111,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
